t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
98.0,0.0004855141,0.0007929123,0.001164666,0.001553784,0.001965456,0.002386297,0.002812905,0.003243171,0.003676048,0.004111187,0.0045479,0.004985954,0.005424975,0.005864702,0.006304991,0.006745589,0.00718614,0.007627422,0.008068459,0.008508814
99.0,0.0004848082,0.0007915633,0.00116285,0.001551647,0.001963077,0.002383724,0.002810166,0.003240282,0.003673023,0.004108038,0.004544635,0.004982581,0.0054215,0.005861128,0.006301316,0.006741799,0.007182259,0.007623451,0.008064328,0.008504552
100.0,0.0004841094,0.0007902252,0.001161046,0.001549525,0.001960714,0.002381166,0.002807443,0.00323741,0.003670015,0.004104907,0.004541389,0.004979227,0.005418045,0.005857573,0.006297662,0.006738028,0.007178399,0.007619502,0.008060217,0.008500293
101.0,0.0004834169,0.0007888967,0.001159254,0.001547415,0.001958364,0.002378622,0.002804735,0.003234553,0.003667023,0.004101793,0.00453816,0.004975891,0.005414607,0.005854037,0.006294027,0.006734274,0.00717456,0.007615573,0.008056105,0.008495959
102.0,0.0004827301,0.0007875775,0.001157474,0.001545317,0.001956027,0.002376093,0.002802042,0.003231713,0.003664048,0.004098695,0.004534948,0.004972573,0.005411188,0.005850519,0.006290411,0.006730535,0.007170742,0.007611666,0.00805198,0.008491474
103.0,0.0004820498,0.0007862683,0.001155705,0.001543233,0.001953705,0.002373579,0.002799364,0.003228887,0.003661089,0.004095615,0.004531754,0.004969272,0.005407787,0.005847021,0.006286814,0.006726809,0.007166944,0.007607779,0.00804788,0.008486842
104.0,0.0004813756,0.0007849689,0.001153948,0.001541161,0.001951396,0.002371078,0.002796701,0.003226078,0.003658146,0.00409255,0.004528576,0.004965989,0.005404404,0.00584354,0.006283235,0.006723097,0.007163166,0.007603912,0.00804382,0.008482368
105.0,0.0004807075,0.0007836788,0.001152202,0.001539102,0.0019491,0.002368592,0.002794053,0.003223283,0.003655218,0.004089502,0.004525415,0.004962722,0.005401038,0.005840077,0.006279674,0.006719408,0.007159407,0.007600064,0.008039788,0.008478162
106.0,0.0004800454,0.0007823981,0.001150467,0.001537054,0.001946816,0.002366119,0.002791419,0.003220503,0.003652306,0.00408647,0.00452227,0.004959472,0.005397689,0.005836631,0.006276131,0.006715742,0.007155668,0.007596235,0.008035781,0.008474047
107.0,0.0004793891,0.0007811264,0.001148743,0.001535018,0.001944546,0.002363659,0.002788798,0.003217737,0.003649409,0.004083453,0.004519141,0.004956239,0.005394357,0.005833203,0.006272605,0.006712097,0.007151948,0.007592425,0.008031794,0.008469976
108.0,0.0004787385,0.0007798638,0.00114703,0.001532994,0.001942288,0.002361213,0.002786192,0.003214986,0.003646527,0.004080451,0.004516028,0.004953022,0.005391041,0.005829791,0.006269096,0.006708472,0.007148246,0.007588633,0.008027812,0.008465935
